division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
55,77,90,67,4NO SHALBAHAN,4NO SHALBAHAN,admin
20,46,80,38,HAFCHARI,HAFCHARI,admin
30,29,56,21,DUMAIN,DUMAIN,admin
30,29,56,52,MADHUKHALI,MADHUKHALI,admin
30,29,56,63,MEGHDHAMI,MEGHDHAMI,admin
30,29,56,73,NAWAPARA,NAWAPARA,admin
20,3,95,38,1 NO REMACRI,1 NO REMACRI,admin
20,3,95,76,2 NO. TINDU,2 NO. TINDU,admin
45,39,61,28,01 NO DURMUT,01 NO DURMUT,admin
45,39,61,66,02 NO KULIA,02 NO KULIA,admin
45,39,61,47,09 No GHOSHERPARA,09 No GHOSHERPARA,admin
20,3,95,56,3 NO. THANCHI SADA,3 NO. THANCHI SADA,admin
20,3,95,19,4 NO. BALIPARA,4 NO. BALIPARA,admin
20,22,94,2,HOLUDIA PALONG,HOLUDIA PALONG,admin
20,22,94,4,PALONKALI,PALONKALI,admin
20,22,94,6,RATNA PALONG,RATNA PALONG,admin
40,50,94,73,FULBARIA,FULBARIA,admin
40,50,94,14,AMLA,AMLA,admin
40,50,94,21,BAHALBARIA,BAHALBARIA,admin
20,84,36,19,01 NO. CHANDRAGHONA UNION,01 NO. CHANDRAGHONA UNION,admin
20,84,36,76,02 NO. RAIKHALI UNION,02 NO. RAIKHALI UNION,admin
20,84,36,38,03 NO. CHITMARAM UNION,03 NO. CHITMARAM UNION,admin
20,84,36,86,05 NO. WAGGA UNION,05 NO. WAGGA UNION,admin
40,1,58,89,SUNDARBAN,SUNDARBAN,admin
40,1,58,59,MITHAKHALI,MITHAKHALI,admin
40,1,58,29,CHILA,CHILA,admin
40,1,58,27,BURIRDANGA,BURIRDANGA,admin
40,1,73,83,RAMPAL SADAR,RAMPAL SADAR,admin
40,1,73,5,BAINTALA,BAINTALA,admin
40,1,73,53,MALI KERBER,MALI KERBER,admin
20,75,7,87,15 NO. SARIFPUR,15 NO. SARIFPUR,admin
50,69,44,38,DUARIA,DUARIA,admin
50,69,44,17,ARBAB,ARBAB,admin
50,69,44,85,LALPUR,LALPUR,admin
50,69,44,28,CHANGDHOPAIL,CHANGDHOPAIL,admin
40,87,90,11,DHANDIA,DHANDIA,admin
40,87,90,94,TETULIA,TETULIA,admin
40,87,90,31,KHALILNAGAR,KHALILNAGAR,admin
40,87,86,39,ESSARIPUR,ESSARIPUR,admin
40,87,25,79,SAKHIPUR,SAKHIPUR,admin
40,87,86,15,VHURULIA,VHURULIA,admin
40,87,25,63,PARULIA,PARULIA,admin
40,87,25,47,NOAPARA,NOAPARA,admin
45,39,7,11,02 No BAGAR CHAR,02 No BAGAR CHAR,admin
45,39,7,59,07 No MERUR CHAR,07 No MERUR CHAR,admin
45,39,7,71,06 No NILAXKHIA,06 No NILAXKHIA,admin
45,39,7,83,04 No SADURPARA,04 No SADURPARA,admin
10,42,40,95,SEKHERHAT,SEKHERHAT,admin
10,42,40,85,PONABALIA,PONABALIA,admin
10,42,40,19,BINOYKATHI,BINOYKATHI,admin
10,42,40,66,KIRTIPASHA,KIRTIPASHA,admin
10,42,43,63,KATHALIA,KATHALIA,admin
10,42,43,47,CHENCHRI RAMPUR,CHENCHRI RAMPUR,admin
10,42,43,79,PATHIKHALGHATA,PATHIKHALGHATA,admin
10,42,43,94,SOULAZALIA,SOULAZALIA,admin
40,55,66,21,BALIDIA,BALIDIA,admin
40,55,66,31,BINODPUR,BINODPUR,admin
40,55,66,52,MAHAMMADPUR,MAHAMMADPUR,admin
40,55,66,73,PALASHBARIA,PALASHBARIA,admin
40,55,95,10,AMALSAR,AMALSAR,admin
40,55,95,84,SREEPUR,SREEPUR,admin
40,55,95,21,DARIAPUR,DARIAPUR,admin
